PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
201569,59,Eric Gordon,HOU,8,32.9,5.8,17.3,0.333,2.0,8.6,0.232,2.5,2.8,0.909,0.8,2.8,3.5,1.8,0.5,0.6,1.1,16.0,9.5
203933,59,T.J. Warren,PHX,11,26.3,5.7,12.1,0.474,1.7,3.6,0.475,2.8,3.1,0.912,0.9,3.1,4.0,1.3,0.6,0.8,1.2,16.0,14.9
1626156,61,D'Angelo Russell,BKN,13,26.8,5.8,14.3,0.409,2.2,5.9,0.364,1.8,2.3,0.8,0.6,3.1,3.7,5.1,1.0,0.3,2.2,15.7,14.7
202704,62,Reggie Jackson,DET,11,29.6,5.0,13.7,0.364,2.1,6.6,0.315,3.5,4.3,0.83,0.7,1.9,2.6,3.6,0.4,0.1,1.7,15.6,11.2
1628372,63,Dennis Smith Jr.,DAL,11,29.4,5.9,13.1,0.451,1.5,3.7,0.415,2.2,3.1,0.706,0.8,1.8,2.6,3.9,1.0,0.4,3.4,15.5,12.0
202683,64,Enes Kanter,NYK,13,26.7,6.2,11.5,0.533,0.1,0.4,0.2,3.0,3.5,0.848,4.3,7.6,11.9,2.2,0.5,0.5,2.5,15.4,22.1
203991,65,Clint Capela,HOU,11,33.6,6.6,11.1,0.598,0.0,0.0,0.0,2.1,3.8,0.548,4.5,7.0,11.5,1.9,0.5,1.7,2.1,15.4,22.6
1628369,66,Jayson Tatum,BOS,12,32.8,5.2,12.8,0.403,1.4,4.0,0.354,3.4,3.8,0.891,1.3,5.7,6.9,2.8,1.0,0.4,1.8,15.2,16.3
203903,66,Jordan Clarkson,CLE,12,23.8,6.3,13.5,0.463,1.3,4.3,0.308,1.3,1.6,0.842,1.1,2.0,3.1,1.8,0.8,0.3,1.3,15.2,12.3
203994,68,Jusuf Nurkic,POR,12,24.8,5.8,11.1,0.519,0.2,1.3,0.133,3.4,4.3,0.788,3.7,6.3,9.9,1.8,0.7,1.1,2.2,15.1,20.2
1627732,69,Ben Simmons,PHI,13,32.3,6.0,11.4,0.527,0.0,0.0,0.0,3.0,4.8,0.619,2.3,7.3,9.6,7.8,1.5,0.8,3.5,15.0,24.0
202694,69,Marcus Morris,BOS,12,25.8,5.3,10.5,0.508,2.3,4.8,0.483,2.0,2.3,0.857,0.8,6.1,6.8,1.3,0.6,0.3,2.0,15.0,16.4
201188,71,Marc Gasol,MEM,11,33.5,4.9,12.1,0.406,1.6,3.5,0.462,3.3,4.2,0.783,1.4,7.8,9.2,4.4,2.0,0.7,1.5,14.7,21.4
203953,72,Jabari Parker,CHI,13,31.1,5.9,13.2,0.45,0.8,3.2,0.268,2.0,2.8,0.703,1.1,5.6,6.7,2.0,0.5,0.5,2.5,14.7,13.8
203109,73,Jae Crowder,UTA,12,30.2,4.9,10.8,0.457,2.3,6.4,0.351,2.6,3.7,0.705,0.9,4.6,5.5,1.8,0.8,0.4,0.7,14.7,15.5
1627752,74,Taurean Prince,ATL,11,27.8,5.0,12.8,0.39,2.2,6.8,0.32,2.5,2.8,0.871,0.2,4.6,4.8,2.9,1.3,0.3,3.3,14.6,12.5
203500,75,Steven Adams,OKC,11,33.7,5.8,9.8,0.593,0.0,0.0,0.0,2.9,5.5,0.525,4.9,5.8,10.7,1.6,1.4,1.1,1.4,14.5,21.4
1627734,76,Domantas Sabonis,IND,12,24.3,5.6,8.3,0.67,0.1,0.2,0.5,3.1,3.9,0.787,2.7,6.4,9.1,2.5,0.5,0.7,1.9,14.3,21.6
2548,76,Dwyane Wade,MIA,9,25.7,5.4,12.1,0.45,1.7,4.0,0.417,1.8,3.0,0.593,1.3,2.7,4.0,2.9,0.4,0.4,2.7,14.3,11.6
201580,78,JaVale McGee,LAL,12,25.8,6.3,9.8,0.641,0.1,0.2,0.5,1.6,2.4,0.655,2.9,4.3,7.3,1.1,0.8,3.0,1.7,14.2,20.3
203145,79,Kent Bazemore,ATL,12,28.2,5.2,11.3,0.459,1.4,4.8,0.298,2.3,3.3,0.718,0.8,3.5,4.3,2.1,1.6,0.9,2.4,14.1,13.6
202339,80,Eric Bledsoe,MIL,12,28.3,5.3,11.3,0.463,1.5,4.7,0.321,2.0,2.6,0.774,1.3,2.9,4.3,6.2,0.8,0.8,2.1,14.0,17.3
202355,80,Hassan Whiteside,MIA,11,29.4,5.4,10.4,0.518,0.1,0.6,0.143,3.2,5.5,0.583,4.0,11.5,15.5,0.6,0.4,3.5,1.9,14.0,24.9
203925,80,Joe Harris,BKN,13,29.2,5.2,9.2,0.571,2.8,4.9,0.578,0.7,0.8,0.818,0.8,2.4,3.2,2.2,0.5,0.2,1.7,14.0,14.3
203915,83,Spencer Dinwiddie,BKN,13,27.0,5.0,10.6,0.471,2.0,4.9,0.406,1.9,2.4,0.806,0.5,2.1,2.6,4.2,0.5,0.5,1.8,13.9,13.8
1627763,84,Malcolm Brogdon,MIL,12,30.1,5.3,10.6,0.504,1.4,3.6,0.395,1.8,1.8,1.0,0.8,2.9,3.8,3.3,0.5,0.2,1.5,13.9,14.9
202685,85,Jonas Valanciunas,TOR,13,19.2,5.2,9.4,0.549,0.5,1.2,0.375,3.1,3.8,0.816,2.0,5.6,7.6,1.1,0.7,1.1,1.0,13.8,18.4
204060,86,Joe Ingles,UTA,12,33.8,5.0,11.3,0.444,2.7,6.8,0.39,1.2,1.8,0.636,0.3,4.1,4.3,4.4,1.7,0.3,2.7,13.8,14.9
1626149,86,Montrezl Harrell,LAC,12,22.6,5.2,7.6,0.681,0.0,0.0,0.0,3.5,5.1,0.689,1.6,4.7,6.3,1.3,0.9,1.8,1.7,13.8,18.4
202711,88,Bojan Bogdanovic,IND,13,30.0,4.8,9.4,0.508,2.1,4.1,0.509,2.0,2.8,0.722,0.2,3.3,3.5,0.9,0.8,0.0,1.5,13.6,11.9
202734,89,E'Twaun Moore,NOP,12,30.3,5.3,9.9,0.538,1.5,3.2,0.474,1.4,1.8,0.773,1.0,1.0,2.0,2.1,0.6,0.5,1.1,13.6,12.7
203585,89,Rodney McGruder,MIA,12,33.8,4.9,10.7,0.461,2.3,4.8,0.466,1.5,2.1,0.72,1.1,4.5,5.6,3.7,0.8,0.3,1.4,13.6,16.2
2546,91,Carmelo Anthony,HOU,10,29.4,4.9,12.1,0.405,2.1,6.4,0.328,1.5,2.2,0.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,13.4,11.7
1627783,92,Pascal Siakam,TOR,13,27.9,5.5,8.6,0.634,0.5,1.7,0.273,1.9,2.5,0.758,1.5,5.2,6.7,2.1,1.2,0.4,1.6,13.3,18.2
1628370,93,Malik Monk,CHA,12,23.6,4.8,12.2,0.39,2.3,6.5,0.346,1.5,1.8,0.857,0.3,1.3,1.7,2.8,0.5,0.3,1.3,13.3,9.5
200752,93,Rudy Gay,SAS,8,28.0,5.6,11.5,0.489,1.1,2.0,0.563,0.9,1.4,0.636,1.3,6.6,7.9,2.0,1.1,0.5,2.1,13.3,16.3
1626162,95,Kelly Oubre Jr.,WAS,12,26.2,4.4,10.4,0.424,1.5,4.9,0.305,2.7,3.2,0.842,0.8,3.8,4.5,0.6,0.8,0.7,1.4,13.0,11.6
203918,96,Rodney Hood,CLE,12,27.3,4.8,10.9,0.435,1.0,2.6,0.387,2.4,2.6,0.935,0.3,2.4,2.8,2.3,0.8,0.1,0.7,12.9,11.8
202066,97,Garrett Temple,MEM,11,31.6,4.4,9.2,0.475,1.9,4.5,0.429,2.2,2.7,0.8,0.5,2.8,3.3,1.0,1.0,0.3,1.1,12.8,11.9
1627854,98,Bryn Forbes,SAS,11,29.0,4.7,10.8,0.437,2.0,4.8,0.415,1.2,1.5,0.813,0.3,1.5,1.8,2.3,1.1,0.0,1.2,12.6,10.3
201588,99,George Hill,CLE,10,26.5,5.0,9.0,0.556,1.2,2.5,0.48,1.4,1.6,0.875,0.8,1.1,1.9,3.0,1.0,0.1,1.6,12.6,12.8
203082,100,Terrence Ross,ORL,12,25.5,4.8,11.9,0.406,1.9,5.9,0.324,0.9,1.2,0.786,0.3,2.6,2.9,2.0,1.2,0.5,1.5,12.5,10.3
203087,101,Jeremy Lamb,CHA,12,24.4,4.6,10.7,0.43,1.4,3.8,0.378,1.8,2.0,0.917,0.8,3.6,4.3,1.5,1.2,0.5,0.8,12.4,12.9
1628963,102,Marvin Bagley III,SAC,13,22.6,4.7,9.2,0.508,0.5,1.1,0.5,2.4,4.0,0.596,2.5,3.4,5.8,0.8,0.5,1.2,2.2,12.3,12.5
202357,102,Nemanja Bjelica,SAC,13,26.0,4.8,9.4,0.508,1.8,3.7,0.479,1.0,1.5,0.684,1.2,4.5,5.7,2.6,1.4,0.8,1.5,12.3,16.2
1628422,104,Damyean Dotson,NYK,11,29.7,4.9,11.1,0.443,1.7,5.2,0.333,0.5,0.8,0.667,0.9,4.6,5.5,1.2,0.8,0.1,0.6,12.1,12.6
201143,105,Al Horford,BOS,12,29.9,4.8,10.5,0.46,1.3,4.4,0.302,1.0,1.5,0.667,1.7,4.3,6.0,3.8,0.7,1.5,1.7,12.0,16.2
1628404,105,Josh Hart,LAL,12,27.2,4.0,8.5,0.471,2.3,5.2,0.452,1.7,2.3,0.714,0.4,3.6,4.0,1.3,1.8,0.4,1.0,12.0,13.3
1628976,107,Wendell Carter Jr.,CHI,13,26.2,4.5,9.3,0.479,0.4,1.0,0.385,2.5,3.3,0.767,2.5,5.2,7.7,2.4,0.7,2.1,1.6,11.8,17.5
201572,108,Brook Lopez,MIL,12,25.9,4.0,9.0,0.444,2.6,6.7,0.388,1.2,1.2,1.0,0.3,2.8,3.2,1.2,0.4,1.8,0.8,11.8,12.5
1627759,109,Jaylen Brown,BOS,11,30.2,4.5,12.1,0.368,1.2,4.3,0.277,1.6,2.6,0.621,1.4,3.2,4.5,1.4,0.5,0.5,1.2,11.7,8.8
1629012,110,Collin Sexton,CLE,12,25.5,4.2,9.7,0.431,0.5,1.3,0.4,2.8,3.1,0.919,0.7,1.8,2.4,2.2,0.4,0.2,2.1,11.7,9.0
200794,110,Paul Millsap,DEN,12,26.5,4.2,9.3,0.45,0.6,1.8,0.318,2.8,4.0,0.688,2.3,5.1,7.4,1.3,1.0,1.1,1.8,11.7,14.3
1628991,112,Jaren Jackson Jr.,MEM,11,24.9,4.3,9.5,0.452,0.5,2.4,0.192,2.6,3.5,0.744,1.5,3.0,4.5,1.3,1.0,1.5,1.4,11.6,12.5
203200,113,Justin Holiday,CHI,13,35.8,4.1,10.0,0.408,2.8,7.2,0.383,0.7,0.8,0.9,0.2,3.6,3.8,2.3,1.6,0.5,0.6,11.6,13.3
201599,114,DeAndre Jordan,DAL,12,32.9,4.2,6.7,0.625,0.0,0.0,0.0,3.3,3.8,0.848,2.8,10.7,13.5,2.4,0.6,1.4,2.4,11.6,24.0
